"","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"1",0.4254475,0.0178292,0.9079888,0.4482474,0.1723238,0.2734886,0.8437655,0.6482012,1.0045327,0.3653047,0.9869899,0.6206238,0.9349461,0.1083226,0.0368675,0.2256093,0.1117253,1.0800082,0.0399503,0.6603971,1.0346213,0.9011358,0.9739229,0.6256499,0.9880634,0.7353095,0.4934248,1.1063053,0.7122572,1.0794403,0.8420724,0.7247309,0.9853841,0.5248142,0.0003697,0.5563648,0.0776347,0.5706227,0.6082623,0.7673976,0.9222203,0.8857487,1.104634,0.8150785,0.9848604,0.7326112,0.7037741,1.0496808,0.0981623,1.1198368,0.8863081,0.6495072,1.0270533,1.0965015,0.8241006,0.9877679,0.6780309,0.5808716,0.8590796,0.9028564,0.8229091,0.3876555,0.5562772,0.8097724,0.4570847,0.5336089,1.045168,0.2557528,1.1535482,0.6597447,0.8942617,0.4249424,0.0795519,0.3636986,0.8648596,1.0002136,0.7619097,0.7836192,0.7378934,0.9739887,0.5887946,0.864944,0.6137221,0.4393908,0.0872259,0.9819518,0.8725998,0.2197876,1.0056932,0.8813589,0.0621631,0.8155049,0.9851822,1.2646203,0.9453261,0.2137654,0.761208,0.6467037,0.6306934,0.9919024,0.1839553,0.11238,0.7065305,0.01116,0.9909236,0.0274012,0.9034882,0.82396,0.9091236,0.3838457,0.9866204,0.9692783,0.5566133,1.0782985,0.3715535,1.0237115,0.5774755,0.6249714,0.8106635,0.8970564,0.4356883,0.1106013,0.4836092,0.9019947,1.1834012,1.0061976,0.8975793,1.0764219,0.5584271,1.3334945,0.770627,0.9074582,0.9263409,0.3671122,0.5132823,0.7326876,0.0483745,0.9182838,0.7020663,0.8316283,0.2532371,0.9173182,0.005939,0.5322954,0.0120324,0.7947309,0.2542664,0.8226468,1.091306,0.5773856,1.0498812,0.756223,0.4597447,1.1462524,1.083409,0.9327592,0.8396092,1.0408291,0.9454266,0.9367212,0.6782241,0.3995828,0.7150801,1.0454643,0.7861565,0.9701933,0.3432401,1.0862,0.6485468,0.0149675,0.3799088,0.7423232,0.9904857,0.7337731,0.7302373,0.2363544,1.1462019,0.4876826,0.9178088,0.4856424,0.7726311,0.923559,0.8889991,0.7983658,0.8494765,0.7752167,0.9339363,0.2404373,0.4928092,0.9582458,1.0583481,0.4793841,0.6654811,0.6630101,0.5672867,0.8332516,0.7314689,1.0108605,0.3371024,0.5643622
"2",0.4424002,0.0505248,0.8693676,0.4458513,0.1733112,0.2748892,0.7640486,0.7478698,1.0225891,0.4341062,1.1179902,0.7146028,0.8111967,0.1231047,0.050514,0.2975357,0.2419106,1.2611414,0.0506439,0.7163463,1.0336536,0.9146476,0.9414748,0.68618,0.8885913,0.9048997,0.2825065,0.9701808,0.8101129,0.952396,0.9587827,0.9123965,0.7673114,0.5914803,4.26e-05,0.3718199,0.0371569,0.6044754,0.6884464,0.7603775,0.9413569,0.9887528,0.8736667,0.8866627,0.8917645,0.8785064,0.7255361,0.880177,0.0752592,0.9077098,0.9014807,0.5016915,0.8026853,1.0495804,0.8278625,1.0202466,0.6058727,0.4494197,0.6983188,1.0203906,0.7701231,0.3672803,0.5006669,1.038016,0.6890975,0.3889141,1.1068994,0.3354676,0.8626441,0.9664818,1.0767023,0.5588723,0.0498163,0.4558838,0.8413423,0.7741201,0.8311243,0.8000957,0.4522703,1.0735477,0.6003619,0.7836355,0.7474196,0.4104805,0.0511617,0.8845948,0.9789981,0.2806456,0.9272895,0.8445568,0.0921717,0.6562352,0.9533414,1.1242883,0.9544244,0.2650421,0.6007971,0.5083606,0.4285782,1.0016349,0.258245,0.1873841,0.8283916,0.007361,0.8464997,0.0133094,1.0842801,0.8296196,0.7650209,0.3695215,0.9362796,1.1447898,0.604666,0.9347829,0.4483856,1.0239193,0.5845698,0.4341723,0.8995807,0.9103214,0.4627566,0.0276579,0.4820478,0.9354792,1.034652,0.8337181,0.9681198,1.2338227,0.5018981,0.9410296,0.771626,0.8626745,1.1116605,0.375952,0.555064,1.065493,0.0246991,1.2225562,0.8818058,1.1224878,0.3066936,0.7063183,0.0002566,0.5243892,0.0190796,0.836545,0.4972756,0.7563752,1.1017718,0.7540078,1.0534334,0.7335817,0.4112115,1.1143811,1.0603162,0.8286072,0.9054739,0.914591,1.1609057,1.0142724,0.726535,0.5381663,0.8361222,0.8755528,1.0804529,1.0503097,0.3903285,0.9768792,0.6050518,0.0009264,0.5595686,0.6411798,0.8258157,1.0643098,0.6372984,0.2418931,1.1366387,0.4603056,0.8182595,0.5854519,0.8178467,0.9514962,0.9178848,0.6265657,0.9448246,0.9566784,0.7405194,0.220308,0.3631698,0.7721575,0.9752118,0.399258,0.633938,0.6817208,0.5396182,0.9471976,0.7724986,1.1675916,0.2646339,0.6546139
"3",1.056847,0.2084539,0.4674478,0.5050774,0.2448833,0.2084515,0.6653546,1.192092,0.8240683,0.1469875,0.8983826,0.7682504,0.9977339,0.1204023,0.2419859,0.2113687,0.3264729,0.9625239,0.1157165,0.9560639,0.8181251,1.115266,0.8207034,0.9120989,0.7502419,1.0356667,0.8326081,0.9683261,0.9917151,1.0817748,0.6004163,0.5679697,0.6818671,0.006538,0.1638133,0.610372,0.1233899,0.847027,0.7750511,1.4113091,0.8490055,0.1979364,0.9288869,0.7086914,0.9610179,0.9275463,0.997193,0.5725521,0.0275358,0.9295881,0.9537256,0.6560425,0.9029072,1.2575504,0.0689574,0.8892793,0.8361193,0.1167799,0.8828178,1.0327622,0.8965146,0.4640399,0.5942767,0.4908911,0.866611,0.6364521,0.7783536,0.4356661,1.1162777,1.0470131,0.8417742,0.0007305,0.1761747,0.6104557,0.9717135,0.8650068,0.7706215,0.9933816,0.886475,0.8413561,0.8387609,0.6842899,0.6279202,0.0185842,0.0263841,1.0282901,0.9925419,0.0867937,0.8426642,0.8148515,0.4809476,0.393277,0.8619509,0.7923458,0.4791854,0.6768005,0.5511587,1.0314697,0.2482136,0.9592563,0.4130331,0.2484444,1.0038925,0.0004912,1.0136781,0.0119791,0.9208039,0.1530222,0.6151452,0.9840005,0.7985547,1.0375868,0.5793403,1.164486,0.2844522,0.9577779,0.745765,0.5031939,0.9885693,0.9155847,0.8674688,0.3116312,0.8741163,1.0652801,1.0119459,0.0202671,1.0266141,0.7187667,0.3126862,1.0513924,0.420164,1.0680254,0.6474229,0.9815888,0.3360132,0.2482025,0.0241226,0.0887076,0.1636512,1.1440184,0.1943443,0.5712726,0.2974276,1.0175052,0.0001747,0.9629061,0.3442146,1.0519234,1.13925,0.1761687,1.2814948,1.0462904,0.245842,0.8647079,0.5422862,0.1633493,0.9124082,0.6806808,0.8932255,0.8536448,0.9096779,0.2312109,1.0642173,0.955546,0.8525391,0.5118188,0.7237109,0.8457994,0.4317169,0.0062613,0.4106503,1.0335973,0.8608588,0.9763118,0.9374134,0.958445,0.9657421,0.10176,0.8373377,0.5497805,0.3162918,0.8749785,1.1334248,0.7801084,0.8153004,1.12775,0.009244,0.6734441,0.4601143,1.0329295,1.0675416,0.7274894,0.8821575,0.5042358,0.6974724,0.2171103,0.6497653,1.0786394,0.3171299,0.6966179
"4",1.1172264,0.003001,0.3176543,0.3872039,0.2537921,0.1793604,0.9392439,0.868668,0.9630279,0.233785,0.962549,0.6135118,1.0002904,0.0566652,0.0489518,0.308657,0.2264085,1.0476867,0.114588,0.7996174,0.6267899,0.9518253,1.1507689,0.9553157,0.9965467,1.0580712,0.450035,0.8689945,1.0849589,0.6496922,0.8610401,0.45268,0.8427878,0.425621,0.6952675,0.389514,0.0598707,0.4764276,0.5937956,1.0582694,0.9597801,0.8030093,0.7301,1.2190505,0.9998054,0.9627121,1.1305295,0.8492091,0.1279712,1.0201919,1.0002283,0.599674,0.5227113,0.8456124,0.6824762,0.5446141,0.7564996,0.4260966,1.1118453,1.1205669,0.8558812,0.540115,0.5667603,0.9069476,0.8953396,0.5876209,1.1815301,0.2416176,0.831697,0.9454362,1.0134666,0.3584164,0.0828756,1.062334,0.8677101,0.8549061,0.8465641,0.8738035,0.5768702,0.8718221,0.9025629,0.8206489,0.5862221,0.3846876,0.5034284,0.8366212,0.8378695,0.2779554,1.0322601,0.4976768,0.4593581,0.3962239,1.0366203,1.0200542,0.936391,0.5743217,0.4409322,1.0041181,0.1543616,0.9205907,0.1990245,0.1854687,0.9033226,0.002664,0.7680907,0.0024197,1.0856339,0.3363002,0.195243,0.8450986,1.0758115,1.0788352,0.5504329,1.0457496,0.3112399,1.0375019,0.3774139,0.5763452,0.9145953,0.8095028,0.7153094,0.3450676,0.9673116,0.8664414,1.0861171,0.3741167,0.955966,1.1415146,0.4894956,0.9363345,0.2393186,0.7572656,0.7570474,0.4198771,0.2867651,0.7521495,0.0568316,1.0472161,1.0032949,0.9364915,0.033828,0.6953924,0.4947733,1.1439259,0.0014093,0.9782721,0.5565219,0.9823783,0.7319752,0.3341678,0.8735614,0.7836807,0.4290685,0.9906204,0.8939484,0.8249986,0.7532152,1.0867244,0.8009613,1.0615269,1.027036,0.1682919,0.7687337,0.9997,1.0877052,0.7384898,0.8127878,1.0215215,0.3935208,0.0021403,0.5673664,0.65931,1.0680829,0.5575743,0.9738948,0.3447368,0.8910275,0.0867934,0.9731876,0.7496862,0.2563398,0.9253457,0.739463,0.5200385,1.1018604,0.5871389,0.4415858,0.1511384,0.4499942,0.8118813,0.7915327,0.9167816,0.7891641,0.8734011,0.2699641,0.7589593,0.5243243,0.9684669,0.3232471,0.6919948
"5",0.9710677,0.0010565,0.3546514,0.4745322,0.2077183,0.1028334,0.7458708,0.9097533,1.1518654,0.3189882,0.9976735,0.4774139,0.9207092,0.086604,0.1141426,0.3339036,0.254142,1.1983442,0.0467167,0.9503748,0.7908513,1.0311177,0.9042632,1.1272433,0.8095737,1.1844603,0.2467635,0.9705724,1.045852,0.8916934,0.8734481,0.546048,0.7372571,0.5120645,0.7161517,0.2784015,0.0680497,0.5333232,0.6235398,1.0806348,0.9474204,0.9891601,0.897935,0.7765232,0.9724405,0.7541887,1.0732397,0.8857213,0.1269658,1.0873327,0.9800976,0.6664646,0.578745,0.7890057,0.5354781,0.5197165,0.5293264,0.5630684,1.0245117,0.7971912,1.0772547,0.62697,0.4941094,0.9692672,0.8514483,0.7236681,1.0589106,0.2161704,0.751013,0.9002975,0.8939179,0.4865657,0.0549406,0.8734844,0.8701537,0.9372047,0.8969641,0.743513,0.7489062,0.8546654,0.8454993,1.1780033,0.6454491,0.2444093,0.3950956,0.9337258,0.778863,0.2024811,0.9418083,0.5886394,0.4269583,0.4105657,0.7762352,0.9562021,0.7499534,0.6351148,0.394315,0.903851,0.2066904,1.0232298,0.2327437,0.2202549,0.9979682,0.0013351,0.8464781,0.0123041,0.8268743,0.2990919,0.1428902,0.8132316,1.1156915,0.7154554,0.5142511,1.101116,0.3320205,1.1520449,0.3916284,0.4722687,0.7236626,0.8255171,0.6349417,0.3629068,1.1350385,1.2154856,1.0513016,0.3006216,1.0525027,0.923816,0.5457457,1.062056,0.224037,1.0471375,0.6437609,0.362733,0.2867483,0.7058319,0.026345,1.0238852,0.9582254,0.9776514,0.0076239,0.6900309,0.3619656,1.0918187,0.0007016,1.0157714,0.6099925,0.9276739,0.6157398,0.3137985,0.9842348,0.8564024,0.5870681,0.8215934,0.8221293,0.811422,0.9557727,0.8136811,0.856291,0.7687264,0.8335344,0.1800528,0.7174724,0.9216543,0.8289568,0.7095002,1.0081888,1.0665032,0.3002372,0.0022183,0.4753827,0.7065565,0.8881629,0.6190392,1.0675225,0.3706061,0.7703224,0.0764746,0.7657101,0.6057314,0.3563767,0.9135243,0.7136646,0.4888485,0.9820272,0.5957691,0.4053103,0.182163,0.5095803,0.7413407,0.8660518,0.8846209,0.5305192,0.6898282,0.1672573,0.6854006,0.4648266,1.0459971,0.3254222,0.7485953
"6",1.1393856,0.1220468,0.4024654,0.3484362,0.1686139,0.2557736,0.924055,0.8239395,1.0251451,0.3108728,1.1869221,0.3154607,0.9431927,0.0098672,0.1387123,0.215362,0.1140147,0.5404366,0.00486,0.9621104,1.0502655,0.9139089,0.767332,0.719257,1.020974,0.7641297,0.5070197,1.0293192,1.1286336,0.7916061,0.8966146,0.9799838,1.1555472,0.7031125,0.7023078,0.5651417,0.1192454,0.8050742,0.5416185,0.9406354,1.0441253,0.9338761,0.9260474,0.9399769,1.0245535,1.1445155,1.063638,0.9826023,0.2360942,1.0716033,0.8937839,0.6782491,1.0116836,1.1010068,0.7898208,1.19585,0.4686627,0.0496357,1.0387227,0.7536705,0.9716329,0.0689301,0.8203664,1.0274074,0.6400674,0.6377909,0.939405,0.1588411,0.9000788,1.010849,0.5569718,0.4498955,0.024082,1.0768234,0.7500881,0.5783859,0.5047429,0.7601732,0.1973233,0.4556166,0.9847065,0.8185748,0.6171472,0.432524,0.1149944,1.053406,0.7519603,0.449606,0.8442488,0.6449418,0.4148123,0.6089823,0.4313533,1.0516671,1.208769,0.7920635,0.4906078,0.8430025,0.7393135,0.9576321,0.515105,0.2187938,1.0467991,0.068647,0.9391443,0.0081418,0.9209461,0.28093,0.7850697,0.8050095,1.0014285,0.9573985,0.1039167,1.0056438,0.7120415,1.0188651,0.1687345,0.5683553,0.8303273,0.4472957,0.5458669,0.3517683,0.9210892,0.946948,0.8213902,0.7346234,1.2774424,0.9953324,0.5201175,1.195201,0.8114481,1.0951031,1.0255332,0.379274,0.1378137,0.7309833,0.2889399,1.1287376,0.9961908,0.9146333,0.0836392,0.8977664,0.5124885,0.674263,0.0038254,0.8112538,0.2767034,0.9494825,0.9743123,0.2713917,0.8530461,0.6118824,0.3972989,1.0405521,0.9684939,0.8008413,1.2144773,1.1865111,1.0039342,0.6792205,0.9672582,0.1233637,0.9043577,0.9060296,1.1168315,1.0586903,0.7307198,0.9699579,0.8029484,0.0170015,0.4217393,1.1107361,0.7145364,0.9924322,0.9848423,0.5518137,1.0968634,0.1547462,0.7988319,0.5096484,0.4563881,0.95188,0.8251637,0.3702774,0.7157326,0.5417813,0.6635256,0.2266344,1.0054332,0.9884056,0.93377,0.7104985,0.1313343,0.8957111,0.3289416,0.8040287,0.6238833,0.8650473,0.1711377,0.7188061
"7",1.0648694,0.1405077,0.4817628,0.4748571,0.1826433,0.1124296,1.0817475,0.9986816,1.1609344,0.359449,0.9899236,0.2495373,0.7279727,0.0402918,0.0953486,0.2901524,0.2242412,0.686931,0.0637418,1.123741,0.8518117,0.8923343,0.9391336,0.7790984,0.9873576,0.7041341,0.3155073,1.1137076,0.8721507,1.1744693,0.7857348,1.0092749,1.041725,0.6642998,0.368484,0.4129278,0.1101178,0.6091577,0.7119845,1.0227678,1.0008776,0.9743321,0.9718363,1.12964,1.1071152,0.9037315,0.7915329,0.8264573,0.272337,1.1919912,0.8852089,0.5917043,0.9192393,1.1010921,0.827581,1.0641743,0.5915285,0.0650289,0.8824358,0.8465103,0.9844186,0.124021,0.9733412,1.0055175,0.543804,0.6163147,1.1600922,0.1801701,0.8780525,0.8812697,0.5262331,0.5101819,0.0443481,1.265356,0.8456887,0.5853741,0.4485682,0.6223199,0.1720155,0.5679252,1.2084489,0.9169595,0.6676787,0.2828012,0.1727032,1.0027036,0.8727999,0.2844341,1.0140067,0.5742843,0.3616509,0.689412,0.5427445,1.0357102,0.950726,0.812268,0.6305545,0.8254085,0.7404013,1.0638719,0.5197682,0.246032,0.988322,0.0586408,1.0856385,0.0204738,1.1474325,0.3159174,0.6452494,0.8073833,0.8326945,0.9059404,0.1925432,0.8981026,0.6403708,0.9072618,0.1780087,0.475022,0.7014677,0.4586232,0.521026,0.3153203,0.8939866,0.843766,0.9355932,0.6358675,0.9880202,1.0386678,0.5853625,0.9887738,0.7849493,0.8871448,1.1319613,0.4365873,0.1345025,0.8778226,0.0798196,0.9278335,0.9957569,0.919674,0.0776235,0.9879219,0.2991556,0.6778664,0.0016011,0.6926316,0.4457901,0.9674298,0.9722075,0.2114354,0.9056159,0.632654,0.3939337,1.1678158,1.086563,0.9477478,0.8483176,1.041566,0.9837462,0.6745385,0.9060446,0.1364966,0.9811385,1.0866177,0.9942261,1.0259497,0.6283549,0.953177,0.615744,0.0028189,0.485204,1.0073493,0.7801841,1.147437,1.0188787,0.6191101,1.0747295,0.112745,1.0525503,0.625543,0.5357155,0.865493,1.2024855,0.3647584,0.7259814,0.7479658,0.8159124,0.1889494,0.6056974,0.7886444,1.060726,0.8648899,0.2211786,0.899061,0.3421964,0.9887038,0.7723974,1.1045084,0.2431859,0.6861208
"8",0.8761173,0.073814,1.0582917,0.7303661,0.0536562,0.1751093,1.202648,1.0474727,0.995017,0.1131998,1.0069288,0.606722,0.9981924,0.063461,0.0142823,0.1833889,0.1986204,0.9692602,0.073355,1.1097794,1.1169306,1.0786923,0.9394369,0.8810516,0.8552596,1.0136576,0.6614275,1.0889391,0.7913489,1.1100887,0.9112987,0.242602,0.9751113,0.5517346,0.757401,0.3586064,0.1800301,0.5535469,0.7830663,1.2288374,0.7592282,1.2387194,0.7665649,0.4268638,1.1412218,0.5908691,0.8322323,0.5416728,0.1114367,0.9717431,0.8546469,0.6809952,0.7642229,1.106761,0.8626592,0.8743032,0.8895407,0.3824006,0.7314582,1.1512934,0.9457924,0.5216401,0.5625739,1.0015395,0.4762222,0.6777275,0.709692,0.9215588,1.0800231,0.6182101,1.1200499,1.0374213,0.5276229,0.7764601,0.5425715,1.0097403,0.9991489,0.8373024,0.7126227,0.9075426,0.9578511,0.9785595,0.3306502,0.3299996,0.1138195,0.7332296,0.8569443,0.1727691,1.004576,0.5513488,0.5385651,0.668541,0.8233111,0.978515,0.885737,0.1924705,0.5753684,0.8637658,0.2539319,0.7990489,0.6735409,0.223953,1.0315988,0.0413128,0.7255049,0.0031624,1.1720187,0.8961521,0.6723592,0.2390721,0.7453579,0.622541,0.7289398,0.8635598,0.6493744,0.9892608,0.6966548,0.6146283,0.9245901,0.9306545,0.6152292,0.0491966,0.7404017,0.9246747,0.9084522,0.7019437,1.0765579,0.8204918,0.8231952,0.6766819,0.5936407,1.1874921,1.1339985,0.243603,0.8872931,0.89521,0.0185231,0.2412614,0.8345552,0.9120986,0.3960784,0.5153614,0.3161142,1.1466914,0.0095766,0.9653258,0.4307128,0.9561565,1.0194893,0.1480051,0.6905422,0.647313,0.5174172,0.8923072,0.9000634,0.7711698,0.9193665,0.6557757,0.9986175,0.9465933,1.0455653,0.4779292,0.8931422,0.945474,0.8507613,1.0398866,0.8519222,0.8269741,0.382149,0.0160095,0.5061729,0.6268983,0.6713106,1.2890859,0.8099564,0.0925129,1.0489741,0.7572204,0.7720183,0.6190322,0.8053072,0.7859504,0.9750791,0.58636,0.9509377,0.9187382,1.0943946,0.1361912,0.2899704,0.8179563,0.9134875,0.7506812,0.4870436,0.2327868,0.2994451,0.77185,0.750464,1.0676287,0.3557404,0.7726911
"9",1.2059661,0.153407,0.7608608,0.6558457,0.1577311,0.1417537,1.0397687,1.0082894,1.035285,0.0720267,1.1206603,0.6717292,1.2182177,0.0460505,0.0114102,0.1863599,0.1850462,1.0598181,0.0118485,0.9646477,1.0654075,1.1489509,0.7184449,0.8062639,0.9509683,1.0048094,0.5254958,0.9614453,0.9918658,0.9894985,0.7037243,0.2405566,0.7893551,0.8316567,0.3386598,0.4130643,0.1534677,0.7614547,0.7442946,0.9756531,0.7438348,1.0130307,0.738334,0.4000622,0.9703385,0.5271387,0.7660179,0.4563984,0.1306065,0.9480476,0.9217052,0.5833434,0.6389726,1.0756029,0.7855876,1.039447,0.7876496,0.3483107,0.6999706,0.9014935,1.1062146,0.5250753,0.6069339,1.1225718,0.5460911,0.5434863,0.6598016,0.8111347,1.0032245,0.4906859,1.0578869,0.8260505,0.3824173,0.8464435,0.5862007,0.9732014,0.9224515,0.7046699,0.7737106,1.0365614,1.0508109,0.9421669,0.3392642,0.3497706,0.0731643,0.8260904,1.0207902,0.1645269,1.0794212,0.8325084,0.3154556,0.6160981,1.0125466,1.2031242,0.8350988,0.1388161,0.6219433,0.8529153,0.2557983,0.6788088,0.7468363,0.3022346,0.8955829,0.0247262,0.9986403,0.0019708,0.9809655,0.9309455,0.525879,0.3392622,0.7623986,0.7466383,0.8753925,0.9518446,0.5476418,0.9745032,0.6339916,0.5945841,0.9014799,0.9697082,0.6575511,0.1514334,0.8475164,1.132573,0.9628642,0.8520029,1.0930984,0.9010721,0.8376114,0.7589822,0.4263668,1.1616142,0.7976668,0.2721619,0.864101,0.9227592,0.0468642,0.3788444,0.7177833,0.8927812,0.5403973,0.7342347,0.1356349,0.9553438,0.0020973,0.8527761,0.3338938,0.8314173,1.0294433,0.117476,0.504914,0.8122545,0.4006095,0.6926338,0.7277353,0.9812265,1.0620572,0.4705392,0.8925108,1.0838521,1.0027837,0.3214121,1.2499215,0.9870172,0.9408916,0.854253,0.6215563,1.0670856,0.562149,0.0058628,0.357571,0.6706323,0.6770009,0.9103609,0.7063676,0.1303554,0.9025987,0.8868268,0.8585952,0.5111855,0.7956406,1.0439527,1.0136661,0.4213374,0.9316105,0.6791152,1.0882364,0.1495518,0.3979129,0.9184102,1.0479688,0.7738747,0.5762073,0.0875843,0.3685727,0.6800907,0.6614214,1.0775041,0.3168036,0.743975
"10",1.0006755,0.0789863,0.8036309,0.8389751,0.0883061,0.1510893,1.0715181,1.1302137,1.1108173,0.0959753,1.0508803,0.7816836,0.9827599,0.0807913,0.016257,0.3144696,0.1651367,1.0086517,0.0791973,0.8270621,0.947179,0.9641556,1.0285416,0.909877,0.8286351,1.0435386,0.7684948,0.9958157,0.9047884,1.0954029,0.7485827,0.33222,1.1231056,0.4745574,0.4961837,0.2763906,0.0804413,0.7783623,0.6423529,1.0867594,0.697524,1.1151278,0.7468922,0.3713249,0.9817162,0.6507953,0.8010672,0.5937883,0.1650155,1.0138809,1.0306037,0.734535,0.8091217,0.9828421,0.8272026,0.8708468,0.8454702,0.5813796,0.8275905,0.8105844,0.849845,0.611724,0.4584971,0.8528268,0.6499842,0.6424598,0.7061343,0.8449533,1.040273,0.6510307,0.9048213,0.9127666,0.5700606,0.5892863,0.444286,1.1762895,0.917258,0.6605392,0.710653,0.9566561,1.1264949,0.7905728,0.2563326,0.2951186,0.1880452,0.6722781,1.0927114,0.2104146,0.884847,0.7414247,0.3415161,0.5170167,0.8097216,0.9323826,0.7279982,0.1781175,0.7372791,0.855714,0.2035196,0.7479114,0.571884,0.2621413,0.8948995,0.0297231,1.1299193,0.0031329,1.0135584,0.9650698,0.599432,0.3437383,0.8854332,0.7479111,0.7075583,0.9706047,0.6748692,0.9765762,0.6291027,0.6675867,0.6773272,0.8681003,0.6801262,0.080142,1.0342887,0.9495391,0.994052,0.8219883,0.9845951,0.9519916,0.7376481,0.8431473,0.5578108,1.1027017,1.0958924,0.2406258,0.9493563,0.9322917,0.0160425,0.3023329,0.9510588,0.9447803,0.3974572,0.6768859,0.2651997,0.8230248,0.0056611,0.8351791,0.3365934,1.1585322,0.8658149,0.1567199,0.5223703,0.6148999,0.3299185,0.6952519,0.7088496,1.079506,0.8703681,0.6290681,1.0420525,0.9436376,0.8236327,0.3950686,1.0499588,0.9784443,0.9025257,0.8086838,0.9301922,1.1289511,0.3599156,0.0592362,0.3843067,0.6633024,0.7071043,1.0467706,0.9556417,0.1235785,1.2786228,0.6988995,0.7043351,0.5699107,0.7209902,0.9746851,0.8778342,0.5720746,1.2037309,0.8925352,1.0230434,0.127297,0.4362909,0.9589769,1.295148,0.6423546,0.6859454,0.1756917,0.3648365,0.7505289,0.6513736,0.9893839,0.3987361,0.8010849
